https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USD
1652400000000,2022-05-13 00:00:00,LUNA/USD,0.025,0.026,0.01,0.012,12583333.996438,151000.00795725602
1652396400000,2022-05-12 23:00:00,LUNA/USD,0.011,0.0379,0.011,0.025,4698752.022477,117468.800561925
1652392800000,2022-05-12 22:00:00,LUNA/USD,0.1,0.14,0.011,0.011,5243909.07057,57682.99977627
1652389200000,2022-05-12 21:00:00,LUNA/USD,0.18,0.19,0.1,0.1,680665.948712,68066.59487120001
1652385600000,2022-05-12 20:00:00,LUNA/USD,0.18,0.24,0.15216,0.18,421518.007067,75873.24127206
1652382000000,2022-05-12 19:00:00,LUNA/USD,0.18,0.19,0.10705,0.18,640102.676838,115218.48183083998
1652378400000,2022-05-12 18:00:00,LUNA/USD,0.14,0.25,0.14,0.18,986763.204041,177617.37672738
1652374800000,2022-05-12 17:00:00,LUNA/USD,0.05502,0.18,0.05,0.14,900208.520743,126029.19290402
1652371200000,2022-05-12 16:00:00,LUNA/USD,0.05502,0.05502,0.05502,0.05502,0.0,0.0
1652367600000,2022-05-12 15:00:00,LUNA/USD,0.1,0.1,0.05502,0.05502,566933.584522,31192.685820400442
1652364000000,2022-05-12 14:00:00,LUNA/USD,0.16,0.16,0.1,0.1,3393493.037466,339349.3037466
1652360400000,2022-05-12 13:00:00,LUNA/USD,0.27,0.27,0.15,0.16,2030419.542028,324867.12672448
1652356800000,2022-05-12 12:00:00,LUNA/USD,0.27,0.36,0.2,0.27,1125142.708378,303788.53126206
1652353200000,2022-05-12 11:00:00,LUNA/USD,0.22,0.44,0.21,0.27,1577212.046369,425847.25251963007
1652349600000,2022-05-12 10:00:00,LUNA/USD,0.39,0.39,0.12,0.22,3457111.510045,760564.5322099
1652346000000,2022-05-12 09:00:00,LUNA/USD,0.53,0.55,0.19,0.39,1374782.409348,536165.13964572
1652342400000,2022-05-12 08:00:00,LUNA/USD,0.54,0.64,0.4,0.53,206777.631658,109592.14477874001
1652338800000,2022-05-12 07:00:00,LUNA/USD,0.62,0.62,0.46,0.54,208517.726304,112599.57220416001
1652335200000,2022-05-12 06:00:00,LUNA/USD,0.66,0.69,0.53,0.62,208327.522201,129163.06376462
1652331600000,2022-05-12 05:00:00,LUNA/USD,0.53,0.85,0.46,0.66,313545.747155,206940.1931223
1652328000000,2022-05-12 04:00:00,LUNA/USD,0.66,0.71,0.4,0.53,854450.539914,452858.78615442
1652324400000,2022-05-12 03:00:00,LUNA/USD,0.78,0.78,0.47,0.66,1206306.985325,796162.6103145
1652320800000,2022-05-12 02:00:00,LUNA/USD,1.0,1.13,0.64,0.78,820616.360734,640080.76137252
1652317200000,2022-05-12 01:00:00,LUNA/USD,1.28,1.37,1.0,1.0,791495.561887,791495.561887
1652313600000,2022-05-12 00:00:00,LUNA/USD,1.1,1.36,1.05,1.28,762235.282628,975661.16176384
1652310000000,2022-05-11 23:00:00,LUNA/USD,1.09,1.16,1.01,1.1,571219.673381,628341.6407191
1652306400000,2022-05-11 22:00:00,LUNA/USD,1.12,1.5,1.05,1.09,953249.473874,1039041.9265226601
1652302800000,2022-05-11 21:00:00,LUNA/USD,1.88,1.91,1.05,1.12,521900.260693,584528.29197616
1652299200000,2022-05-11 20:00:00,LUNA/USD,1.29,2.5,1.1,1.88,776385.207221,1459604.1895754798
1652295600000,2022-05-11 19:00:00,LUNA/USD,1.37,1.46,1.1,1.29,598265.3045,771762.2428049999
1652292000000,2022-05-11 18:00:00,LUNA/USD,1.82,1.95,1.25,1.37,517175.379473,708530.26987801
1652288400000,2022-05-11 17:00:00,LUNA/USD,2.29,2.39,1.51,1.82,603614.672323,1098578.7036278602
1652284800000,2022-05-11 16:00:00,LUNA/USD,2.36,2.78,2.04,2.29,406633.859189,931191.53754281
1652281200000,2022-05-11 15:00:00,LUNA/USD,4.26,4.27,2.05,2.36,680258.40924,1605409.8458063998
