https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1652400000000,2022-05-13 00:00:00,UST/USD,0.38,0.38,0.317,0.329,52214.623681,17178.611191049
1652396400000,2022-05-12 23:00:00,UST/USD,0.443,0.443,0.36,0.38,269853.684603,102544.40014914
1652392800000,2022-05-12 22:00:00,UST/USD,0.445,0.47,0.4,0.443,184992.777325,81951.800354975
1652389200000,2022-05-12 21:00:00,UST/USD,0.416,0.485,0.407,0.445,137376.735835,61132.647446575
1652385600000,2022-05-12 20:00:00,UST/USD,0.36,0.435,0.36,0.416,107354.046434,44659.283316544
1652382000000,2022-05-12 19:00:00,UST/USD,0.393,0.393,0.319,0.36,25471.307758,9169.670792879999
1652378400000,2022-05-12 18:00:00,UST/USD,0.373,0.44,0.373,0.393,32634.081597,12825.194067621002
1652374800000,2022-05-12 17:00:00,UST/USD,0.35,0.386,0.316,0.373,84422.207901,31489.483547073
1652371200000,2022-05-12 16:00:00,UST/USD,0.389,0.389,0.324,0.35,18076.550809,6326.79278315
1652367600000,2022-05-12 15:00:00,UST/USD,0.449,0.454,0.364,0.389,538029.256329,209293.380711981
1652364000000,2022-05-12 14:00:00,UST/USD,0.59,0.6,0.365,0.449,430002.61869,193071.17579181
1652360400000,2022-05-12 13:00:00,UST/USD,0.635,0.642,0.558,0.59,450370.567391,265718.63476069
1652356800000,2022-05-12 12:00:00,UST/USD,0.578,0.635,0.52,0.635,710124.886842,450929.30314467
1652353200000,2022-05-12 11:00:00,UST/USD,0.435,0.58,0.434,0.578,442162.914373,255570.16450759396
1652349600000,2022-05-12 10:00:00,UST/USD,0.399,0.484,0.35,0.435,575032.459238,250139.11976852998
1652346000000,2022-05-12 09:00:00,UST/USD,0.617,0.617,0.399,0.399,160939.706115,64214.94273988501
1652342400000,2022-05-12 08:00:00,UST/USD,0.63,0.666,0.553,0.617,139829.089581,86274.548271477
1652338800000,2022-05-12 07:00:00,UST/USD,0.552,0.63,0.461,0.63,263398.788744,165941.23690872002
1652335200000,2022-05-12 06:00:00,UST/USD,0.562,0.61,0.516,0.552,306926.741372,169423.56123734402
1652331600000,2022-05-12 05:00:00,UST/USD,0.672,0.71,0.5,0.562,275308.603021,154723.434897802
1652328000000,2022-05-12 04:00:00,UST/USD,0.717,0.722,0.64,0.672,80109.519718,53833.597250496
1652324400000,2022-05-12 03:00:00,UST/USD,0.65,0.72,0.543,0.717,1315103.53725,942929.23620825
1652320800000,2022-05-12 02:00:00,UST/USD,0.77,0.77,0.645,0.65,513692.54621,333900.1550365
1652317200000,2022-05-12 01:00:00,UST/USD,0.829,0.848,0.726,0.77,821079.384329,632231.12593333
1652313600000,2022-05-12 00:00:00,UST/USD,0.756,0.84,0.753,0.829,1104061.918191,915267.3301803388
1652310000000,2022-05-11 23:00:00,UST/USD,0.762,0.808,0.73,0.756,751614.294185,568220.40640386
1652306400000,2022-05-11 22:00:00,UST/USD,0.779,0.82,0.714,0.762,1063355.987225,810277.2622654501
1652302800000,2022-05-11 21:00:00,UST/USD,0.69,0.78,0.688,0.779,765389.446292,596238.378661468
1652299200000,2022-05-11 20:00:00,UST/USD,0.672,0.69,0.656,0.69,666894.130271,460156.94988698995
