Time,Open,High,Low,Last,Change,%Chg,Volume
"05/07/2022 15:40",0.999648,0.999774,0.999627,0.999774,0.000126,+0.01%,86
"05/07/2022 15:30",0.999626,0.999778,0.999624,0.999648,2.2E-5,0.00%,116
"05/07/2022 15:20",0.99965,0.999796,0.999626,0.999626,-2.4E-5,0.00%,100
"05/07/2022 15:10",0.999694,0.999794,0.999611,0.99965,3.9E-5,0.00%,110
"05/07/2022 15:00",0.999709,0.999798,0.999611,0.999611,-9.8E-5,-0.01%,121
"05/07/2022 14:50",0.999729,0.999792,0.999612,0.999709,-6.5E-5,-0.01%,109
"05/07/2022 14:40",0.999702,0.999795,0.999643,0.999774,7.2E-5,+0.01%,146
"05/07/2022 14:30",0.999698,0.999799,0.999639,0.999702,4.0E-6,0.00%,162
"05/07/2022 14:20",0.999744,0.999799,0.999647,0.999698,-0.00013,-0.01%,163
"05/07/2022 14:10",0.999653,0.999828,0.999641,0.999828,0.000175,+0.02%,142
"05/07/2022 14:00",0.999698,0.9998,0.999653,0.999653,-4.5E-5,0.00%,133
"05/07/2022 13:50",0.999699,0.999796,0.999656,0.999698,-1.0E-6,0.00%,100
"05/07/2022 13:40",0.999692,0.999799,0.999651,0.999699,7.0E-6,0.00%,73
"05/07/2022 13:30",0.999778,0.999799,0.999651,0.999692,-2.0E-6,0.00%,88
"05/07/2022 13:20",0.999693,0.999799,0.99968,0.999694,1.0E-6,0.00%,70
"05/07/2022 13:10",0.999704,0.999788,0.99966,0.999693,-2.5E-5,0.00%,83
"05/07/2022 13:00",0.999773,0.999802,0.999689,0.999718,-5.5E-5,-0.01%,88
"05/07/2022 12:50",0.999788,0.9998,0.999669,0.999773,-1.5E-5,0.00%,82
"05/07/2022 12:40",0.999793,0.9998,0.999676,0.999788,-5.0E-6,0.00%,67
"05/07/2022 12:30",0.999637,0.999814,0.999637,0.999793,0.000119,+0.01%,65
"05/07/2022 12:20",0.99969,0.999796,0.999674,0.999674,-0.000101,-0.01%,67
"05/07/2022 12:10",0.999778,0.999796,0.99969,0.999775,-3.0E-6,0.00%,67
"05/07/2022 12:00",0.999789,0.999803,0.999687,0.999778,-1.1E-5,0.00%,76
"05/07/2022 11:50",0.99969,0.999833,0.99969,0.999789,1.5E-5,0.00%,66
"05/07/2022 11:40",0.99969,0.999796,0.999687,0.999774,8.4E-5,+0.01%,69
"05/07/2022 11:30",0.999695,0.999803,0.99969,0.99969,-9.0E-5,-0.01%,67
"05/07/2022 11:20",0.999704,0.999791,0.999671,0.99978,7.6E-5,+0.01%,82
"05/07/2022 11:10",0.999705,0.999791,0.999674,0.999704,-1.0E-6,0.00%,126
"05/07/2022 11:00",0.999684,0.999791,0.999675,0.999705,2.1E-5,0.00%,130
"05/07/2022 10:50",0.999713,0.999799,0.999681,0.999684,-2.9E-5,0.00%,129
"05/07/2022 10:40",0.99968,0.999799,0.999677,0.999713,3.3E-5,0.00%,109
"05/07/2022 10:30",0.999707,0.999793,0.99968,0.99968,-2.7E-5,0.00%,100
"05/07/2022 10:20",0.999678,0.999786,0.999676,0.999707,2.9E-5,0.00%,109
"05/07/2022 10:10",0.999698,0.999787,0.999589,0.999678,-2.0E-5,0.00%,87
"05/07/2022 10:00",0.999671,0.999784,0.999669,0.999698,2.7E-5,0.00%,135
"05/07/2022 09:50",0.999672,0.999779,0.999516,0.999671,-1.0E-6,0.00%,119
"05/07/2022 09:40",0.999672,0.999692,0.999583,0.999672,0,0.00%,119
"05/07/2022 09:30",0.99969,0.999695,0.999581,0.999672,-2.0E-6,0.00%,108
"05/07/2022 09:20",0.999669,0.999695,0.999585,0.999674,5.0E-6,0.00%,104
"05/07/2022 09:10",0.999698,0.9997,0.99959,0.999669,5.9E-5,+0.01%,100
"05/07/2022 09:00",0.999698,0.999701,0.999588,0.99961,-8.8E-5,-0.01%,81
"05/07/2022 08:50",0.999698,0.999702,0.999588,0.999698,0,0.00%,94
"05/07/2022 08:40",0.999703,0.999703,0.999592,0.999698,-5.0E-6,0.00%,106
"05/07/2022 08:30",0.999677,0.999716,0.999589,0.999703,2.6E-5,0.00%,91
"05/07/2022 08:20",0.9997,0.9997,0.999586,0.999677,-2.3E-5,0.00%,118
"05/07/2022 08:10",0.999685,0.999794,0.999681,0.9997,1.5E-5,0.00%,72
"05/07/2022 08:00",0.999685,0.99979,0.999614,0.999685,0,0.00%,139
"05/07/2022 07:50",0.999702,0.999706,0.999614,0.999685,-1.7E-5,0.00%,124
"05/07/2022 07:40",0.999686,0.999791,0.999594,0.999702,0.000105,+0.01%,107
"05/07/2022 07:30",0.999748,0.999748,0.999574,0.999597,-0.000151,-0.02%,162
"05/07/2022 07:20",0.999685,0.999792,0.99966,0.999748,-2.6E-5,0.00%,90
"05/07/2022 07:10",0.999685,0.999789,0.999649,0.999774,7.0E-5,+0.01%,103
"05/07/2022 07:00",0.999704,0.999709,0.9996,0.999704,0,0.00%,90
"05/07/2022 06:50",0.999624,0.999717,0.999607,0.999704,8.0E-5,+0.01%,73
"05/07/2022 06:40",0.999712,0.999725,0.999604,0.999624,-0.000104,-0.01%,78
"05/07/2022 06:30",0.99962,0.999728,0.999598,0.999728,0.000108,+0.01%,69
"05/07/2022 06:20",0.999685,0.999714,0.999599,0.99962,-6.5E-5,-0.01%,112
"05/07/2022 06:10",0.999715,0.999715,0.999591,0.999685,-3.0E-5,0.00%,127
"05/07/2022 06:00",0.999696,0.999727,0.999607,0.999715,1.9E-5,0.00%,121
"05/07/2022 05:50",0.999686,0.999723,0.999616,0.999696,1.0E-5,0.00%,108
"05/07/2022 05:40",0.999687,0.999702,0.999594,0.999686,-1.0E-6,0.00%,109
"05/07/2022 05:30",0.999697,0.999703,0.999609,0.999687,-1.0E-5,0.00%,102
"05/07/2022 05:20",0.999599,0.999699,0.999589,0.999697,1.0E-5,0.00%,87
"05/07/2022 05:10",0.99969,0.999701,0.999497,0.999687,-3.0E-6,0.00%,115
"05/07/2022 05:00",0.9997,0.999707,0.999597,0.99969,-1.0E-5,0.00%,116
"05/07/2022 04:50",0.999687,0.999709,0.999591,0.9997,1.3E-5,0.00%,116
"05/07/2022 04:40",0.99969,0.99978,0.999597,0.999687,-3.0E-6,0.00%,107
"05/07/2022 04:30",0.999707,0.999798,0.999603,0.99969,7.3E-5,+0.01%,116
"05/07/2022 04:20",0.999707,0.99971,0.999603,0.999617,-9.0E-5,-0.01%,143
"05/07/2022 04:10",0.999614,0.999714,0.999597,0.999707,3.0E-6,0.00%,134
"05/07/2022 04:00",0.999691,0.999707,0.999597,0.999704,1.3E-5,0.00%,148
"05/07/2022 03:50",0.999707,0.99971,0.9996,0.999691,-1.6E-5,0.00%,142
"05/07/2022 03:40",0.999706,0.99971,0.999597,0.999707,1.7E-5,0.00%,127
"05/07/2022 03:30",0.999691,0.9998,0.9996,0.99969,-1.0E-6,0.00%,84
"05/07/2022 03:20",0.999796,0.9998,0.999688,0.999691,-1.5E-5,0.00%,77
"05/07/2022 03:10",0.99969,0.999797,0.999597,0.999706,1.6E-5,0.00%,101
"05/07/2022 03:00",0.99969,0.999706,0.999597,0.99969,0,0.00%,101
"05/07/2022 02:50",0.999689,0.999707,0.999601,0.99969,1.0E-6,0.00%,117
"05/07/2022 02:40",0.999703,0.999707,0.999601,0.999689,-1.4E-5,0.00%,128
"05/07/2022 02:30",0.999797,0.999799,0.999612,0.999703,-9.4E-5,-0.01%,76
"05/07/2022 02:20",0.999797,0.999816,0.999688,0.999797,0,0.00%,63
"05/07/2022 02:10",0.999783,0.999797,0.999689,0.999797,1.4E-5,0.00%,52
"05/07/2022 02:00",0.999797,0.999797,0.999691,0.999783,-1.4E-5,0.00%,50
"05/07/2022 01:50",0.999703,0.999797,0.999689,0.999797,9.4E-5,+0.01%,79
"05/07/2022 01:40",0.999689,0.999797,0.999689,0.999703,-7.8E-5,-0.01%,61
"05/07/2022 01:30",0.999703,0.999797,0.999692,0.999781,-1.3E-5,0.00%,56
"05/07/2022 01:20",0.999694,0.999798,0.999694,0.999794,0.0001,+0.01%,58
"05/07/2022 01:10",0.999706,0.999798,0.999684,0.999694,-1.2E-5,0.00%,65
"05/07/2022 01:00",0.999795,0.999798,0.999692,0.999706,-7.4E-5,-0.01%,65
"05/07/2022 00:50",0.999783,0.999798,0.999688,0.99978,-1.7E-5,0.00%,85
"05/07/2022 00:40",0.999706,0.999797,0.999688,0.999797,9.1E-5,+0.01%,77
"05/07/2022 00:30",0.999784,0.999797,0.999688,0.999706,1.4E-5,0.00%,63
"05/07/2022 00:20",0.999794,0.999797,0.999688,0.999692,-0.000102,-0.01%,59
"05/07/2022 00:10",0.999707,0.999798,0.999693,0.999794,8.7E-5,+0.01%,73
"05/07/2022 00:00",0.999707,0.999801,0.999692,0.999707,0,0.00%,72
"05/06/2022 23:50",0.999787,0.999798,0.999692,0.999707,-8.0E-5,-0.01%,76
"05/06/2022 23:40",0.999787,0.999801,0.999693,0.999787,0,0.00%,66
"05/06/2022 23:30",0.999712,0.999804,0.999695,0.999787,7.5E-5,+0.01%,60
"05/06/2022 23:20",0.9997,0.999804,0.999697,0.999712,-7.9E-5,-0.01%,61
"05/06/2022 23:10",0.999701,0.999804,0.99969,0.999791,0.000182,+0.02%,73
"05/06/2022 23:00",0.999699,0.999699,0.999593,0.999609,-9.0E-5,-0.01%,99
"05/06/2022 22:50",0.999701,0.999702,0.999593,0.999699,-2.0E-6,0.00%,90
"05/06/2022 22:40",0.999702,0.999702,0.999599,0.999701,-1.0E-6,0.00%,85
"05/06/2022 22:30",0.999707,0.999707,0.999599,0.999702,-5.0E-6,0.00%,66
"05/06/2022 22:20",0.999803,0.999803,0.999693,0.999707,-9.6E-5,-0.01%,79
"05/06/2022 22:10",0.999803,0.999803,0.999695,0.999803,0,0.00%,61
"05/06/2022 22:00",0.999695,0.999803,0.999695,0.999803,0.000108,+0.01%,77
"05/06/2022 21:50",0.999803,0.999803,0.999608,0.999695,-0.000108,-0.01%,66
"05/06/2022 21:40",0.999701,0.999803,0.999605,0.999803,0.000102,+0.01%,64
"05/06/2022 21:30",0.999793,0.999803,0.999695,0.999701,-9.2E-5,-0.01%,71
"05/06/2022 21:20",0.99971,0.999802,0.999695,0.999793,8.3E-5,+0.01%,73
"05/06/2022 21:10",0.999708,0.99971,0.999603,0.99971,2.0E-6,0.00%,116
"05/06/2022 21:00",0.999704,0.999796,0.999609,0.999708,4.0E-6,0.00%,129
"05/06/2022 20:50",0.999711,0.999807,0.999701,0.999704,-7.0E-6,0.00%,55
"05/06/2022 20:40",0.999803,0.999808,0.999703,0.999711,-9.2E-5,-0.01%,56
"05/06/2022 20:30",0.999708,0.999808,0.999703,0.999803,2.0E-6,0.00%,53
"05/06/2022 20:20",0.999709,0.999801,0.999703,0.999801,0,0.00%,69
